Coordenadas,Latitud,Longitud
"19.487961, -99.867308",19.487961,-99.867308
"18.925203, -99.768644",18.925203,-99.768644
"19°38'35.5""N 98°58'27.2""W",19.643194444444443,-98.97422222222222
"19°41'57.8""N 98°45'26.4""W",19.69938888888889,-98.75733333333334
"19°38'35.5""N 98°58'27.2""W",19.643194444444443,-98.97422222222222
"19°25'46.0""N 98°59'32.1""W",19.429444444444446,-98.99225
"19°25'46.0""N 98°59'32.1""W",19.429444444444446,-98.99225
"19°54'30.9""N 99°09'09.7""W",19.908583333333333,-99.15269444444445
"19.0855595, -99.2249285",19.0855595,-99.2249285
"19.0855595, -99.2249285",19.0855595,-99.2249285
"19.704393, -99.084103",19.704393,-99.084103
"19.439697, -98.996993",19.439697,-98.996993
"19.439697, -98.996993",19.439697,-98.996993
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"17°30'33.2""N 91°58'51.4""W",17.50922222222222,-91.98094444444445
"16°07'55.5""N 91°55'22.1""W",16.132083333333334,-91.92280555555556
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°44'30.0""N 93°07'56.2""W",16.741666666666667,-93.13227777777777
"16°45'38.8""N 93°07'08.4""W",16.76077777777778,-93.119
"16°38'59.0""N 93°09'22.0""W",16.649722222222223,-93.15611111111112
"16°42'32.6""N 93°00'27.9""W",16.709055555555555,-93.00775
"16°45'31.7""N 93°08'11.0""W",16.758805555555554,-93.13638888888889
"16°43'26.8""N 92°58'51.2""W",16.72411111111111,-92.98088888888888
"16°42'42.2""N 93°03'03.6""W",16.71172222222222,-93.051
"16°47'53.6""N 93°07'21.8""W   y  16°47'58.5""N 93°07'10.4""W",16.798222222222222,-93.12272222222222
"16°44'31.1""N 93°07'35.2""W",16.741972222222223,-93.12644444444445
"16°43'55.4""N 93°08'59.5""W",16.732055555555554,-93.14986111111111
"16°45'24.8""N 93°09'41.9""W  -  16°45'13.2""N 93°06'57.6""W",16.756888888888888,-93.16163888888889
"16°41'37.8""N 93°02'49.2""W",16.693833333333334,-93.047
"16°45'11""N 93°06'22""W  y  16°44'52.0""N 93°06'03.0""W",16.753055555555555,-93.1061111111111
"15°30'30""N 92°58'03""W",15.508333333333333,-92.9675
"14°54'37.6""N 92°15'53.7""W",14.910444444444444,-92.26491666666666
"15°08'17""N 92°27'53""W",15.138055555555555,-92.46472222222222
"16°05'29.0""N 93°45'06.9""W",16.09138888888889,-93.75191666666667
"29.71481, -110.95564",29.71481,-110.95564
"29.71481, -110.95564",29.71481,-110.95564
"31°41'35.15""N 112°45'43.04""W",31.69309722222222,-112.76195555555556
"31.272007,-111.066727",31.272007,-111.066727
"(32.3631144, -116.9109162), (32.3707873, -116.9408294), (32.3931503, -116.9338650)",32.3631144,-116.9109162
